"","X","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","snr","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","sd_adj_r_squared","sd_agreement","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed"
"1036",1,47,514,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.2,0,1,0.156145688206947,0.504166666666667,19.9840568716068,0.642778829567424,0.504166666666667,NA,1,0.504166666666667,0.656416040100251,19.6142814047209,0.988664498144815,0.941666666666667,NA,1,0.941666666666667,0.954968944099379,0.045404513214692,0.133757548838729,6.70144084307911,0.144385758609721,0.154074771094165,NA,0,0.154074771094165,0.144113198297991,6.50920571964239,0.321478878202184,0.191370862509275,NA,0,0.191370862509275,0.160909697486003
"1037",1,47,564,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.245423533048459,0.604166666666667,16.3655165184403,0.602054439796088,0.7375,0.48125,0.427916666666667,0.7375,0.534491064491065,16.1193689503696,0.804756932698285,0.9625,0.0375,0.333333333333333,0.9625,0.489285714285714,0.0370008178570009,0.161939541819404,4.05309892156332,0.151985388356517,0.206394486870474,0.211802260064479,0.122824471452897,0.206394486870474,0.139758416013023,4.01884114086312,0.226528903472644,0.167705098312484,0.167705098312484,0,0.167705098312484,0.0479157423749955
"1038",1,47,614,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.223657686970193,0.6625,15.4225757004539,0.583933614209458,0.7375,0.4,0.386031746031746,0.7375,0.50038295038295,15.1947336714869,0.752613702441136,0.9875,0.01875,0.335,0.9875,0.5,0.0489801526603459,0.163288124785321,4.8106036913085,0.138611071163116,0.206394486870474,0.174905989786393,0.0886432001109655,0.206394486870474,0.109210132949279,4.71801579005871,0.227756452198315,0.0559016994374947,0.0611700606161991,0.017013926184468,0.0559016994374947,0.0231744887329661
"1039",1,47,664,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.251985085820267,0.629166666666667,51.6312982231916,2.6413956065696,0.85,0.475,0.465165945165945,0.85,0.59477355977356,50.8879708920589,3.06714044206349,0.9625,0.0375,0.333333333333333,0.9625,0.495,0.0456389608579609,0.136462727597655,15.0882993074227,0.738246582970656,0.17013926184468,0.220644987539522,0.124680274236403,0.17013926184468,0.132696769803162,15.0039414215374,0.840002263977584,0.0915868871331308,0.0587702932477034,0.0294948038419568,0.0915868871331308,0.0436292192450177
"1040",1,47,714,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.12216148019917,0.566666666666667,23.4330936815563,2.86894283126645,0.875,0.625,0.603023088023088,0.875,0.683431568431568,22.8360852515651,2.52601634057033,0.9625,0.13125,0.368333333333333,0.9625,0.521904761904762,0.0390532185183635,0.196087461092393,1.06217473973863,0.354016134951433,0.172061800402921,0.269013793424485,0.205553981952607,0.172061800402921,0.138265520058852,1.04588504023142,0.302124283762129,0.122340121232398,0.187938084709328,0.0733655866436161,0.122340121232398,0.0307211334675725
"1041",1,47,764,20,50,5,0.5,5,12,4,1,0.25,1,0,1,0,2,0.4,0,1,0.241702019466782,0.6375,14.6138037400887,0.576017812548468,0.625,NA,1,0.625,0.761637085039966,14.3463573580012,0.765141132427164,0.9875,NA,1,0.9875,0.993280632411067,0.0467702543647646,0.135925998958928,3.72456863094727,0.161222817442736,0.131066252609508,NA,0,0.131066252609508,0.0995110921202663,3.65405599284682,0.242175503114071,0.0407800404107994,NA,0,0.0407800404107994,0.0220666740420163
"1042",1,47,814,20,50,5,0.5,1,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.315032872295539,0.633333333333333,12.4807375154282,0.517402537905572,0.85,0.425,0.439411976911977,0.85,0.571877011877012,12.255256712245,0.612367259468042,0.975,0.1625,0.410238095238095,0.975,0.555808080808081,0.0504767481910047,0.127961982658319,3.46079322536817,0.130076480616212,0.188484258731263,0.200328677296508,0.122985794094887,0.188484258731263,0.127651151102609,3.42215995745404,0.193713170962678,0.111803398874989,0.339552724376611,0.181862078210683,0.111803398874989,0.143379625432404
"1043",1,47,864,20,50,5,0.5,2,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.311207661720391,0.6375,12.8880138480375,0.505217568294155,0.8625,0.475,0.466053391053391,0.8625,0.593769563769564,12.632159493033,0.66656089709378,1,0,0.333333333333333,1,0.5,0.0548018167414401,0.169439650972367,4.67701736217906,0.157771343159447,0.206394486870474,0.205195670417031,0.111345727182926,0.206394486870474,0.117773088275032,4.58999952170013,0.270513776528615,0,0,0,0,0
"1044",1,47,914,20,50,5,0.5,3,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.327603417124443,0.616666666666667,43.188753170212,2.41048643545897,0.7375,0.4625,0.406011904761905,0.7375,0.518924963924964,42.4663582173267,2.74063466901299,0.9875,0.0125,0.333333333333333,0.9875,0.498333333333333,0.0528402591342353,0.125073078053597,17.014854602532,0.613321593666803,0.221760302080754,0.141072023411709,0.0917520474355574,0.221760302080754,0.124273538290211,16.7807639743333,0.771237136907788,0.0559016994374947,0.0384741882031933,0.017028832937849,0.0559016994374947,0.0253051551505416
"1045",1,47,964,20,50,5,0.5,4,12,4,1,0.25,1,0,1,0,2,0.6,0,1,0.160033388318757,0.645833333333333,19.7748237318382,2.89077527950218,0.9125,0.5,0.528030303030303,0.9125,0.646564546564547,19.4944320019846,2.68691298263523,0.975,0.1375,0.367056277056277,0.975,0.528823953823954,0.0434259403811759,0.168574605622611,0.806180411674945,0.225999845693263,0.167705098312484,0.300766564491117,0.197759953512426,0.167705098312484,0.151338981263975,0.747243459708012,0.277883164152718,0.111803398874989,0.180915071671474,0.0523229994116325,0.111803398874989,0.0534770280054407
