"","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","snr","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_icc","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_s_hat_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","mean_s_hat_mixed","sd_adj_r_squared","sd_agreement","sd_icc","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_s_hat_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed","sd_s_hat_mixed"
"847",7,1007,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,4,0.3,0,1,0.238202502271723,0.562972972972973,0.23327631464169,440.142396631179,2.09857599918036,0.0777777777777778,0.938942307692308,0.498659898108428,0.0777777777777778,0.133753090074511,12.65,242.280939339153,26.1478069042987,0.509259259259259,0.522596153846154,0.454125825303686,0.509259259259259,0.479821493037191,90.9,0.0543754991180578,0.0264969352630119,0.0519298318500373,22.9746394453189,0.374109021260216,0.0291877379871264,0.0221197848113325,0.153356382234339,0.0291877379871264,0.0474093685246603,2.88872581636009,21.4115479722463,3.10602646097948,0.0546089302678869,0.05100162658235,0.0473205250155437,0.0546089302678869,0.0492602627566662,4.76721258068839
"848",7,124,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,1,1.28,0,1,0.542854001970482,0.66,0.483768282355336,53.5412002108518,0.907197578780603,0.284567901234568,0.805769230769231,0.535447452568613,0.284567901234568,0.371103190042236,43.25,31.9888461997974,3.32047924548092,0.53641975308642,0.546153846153846,0.479498025501242,0.53641975308642,0.506187251660045,90.65,0.0370155055063222,0.0365730494156878,0.0367991609652087,3.05485744276248,0.0786236221281926,0.0316596646879958,0.0381566865861853,0.0662704786504568,0.0316596646879958,0.0405308373972133,3.53739422382307,2.97044189762547,0.295378572244558,0.045400694007787,0.0399021693711407,0.038568187681754,0.045400694007787,0.0405538275363047,3.51350776889781
"849",7,174,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,1.5,1.28,0,1,0.555597374735072,0.637027027027027,0.533358148326681,78.5516964825264,1.09178185865405,0.231481481481481,0.817307692307692,0.495086891295868,0.231481481481481,0.314835401535774,37.75,45.7454797492852,5.02889651055978,0.524074074074074,0.523557692307692,0.461176516561601,0.524074074074074,0.490321651495734,92,0.0257954860602501,0.0328224533560796,0.032124053521162,5.92797486676682,0.0983204748848437,0.0417943198939579,0.0259136986123322,0.0628913272841626,0.0417943198939579,0.0503373340559093,3.78188201547158,4.16862851258339,0.631764796094368,0.047642334037657,0.0342415429072123,0.0318282182503751,0.047642334037657,0.037253556759808,4.71280450642603
"850",7,224,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,2,1.28,0,1,0.564102723333805,0.627837837837838,0.540603910507056,105.716580788443,1.25491661374997,0.183950617283951,0.833173076923077,0.465226442218615,0.183950617283951,0.263047727408962,32.25,61.4532309389087,6.58879660214027,0.512962962962963,0.532211538461538,0.460551877697432,0.512962962962963,0.485050108915336,90.2,0.0214391256491547,0.0294125064641521,0.0237464799515674,5.92919556607644,0.0824117732519787,0.0236627868640058,0.0329081644970315,0.063458338136316,0.0236627868640058,0.0321576316392737,3.50751073825118,3.91696077108163,0.573716921140279,0.0508985986104225,0.0393712011806122,0.0376503616850607,0.0508985986104225,0.0419774358558848,4.56070170039655
"851",7,24,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,0,1.28,0,1,0.466931425937037,0.692702702702703,0.0245545294116831,18.6021240014865,0.577830845472583,0.402469135802469,0.847115384615385,0.674381214591007,0.402469135802469,0.501449817324307,48.5,11.4963551250035,1.19580723955094,0.562345679012346,0.617307692307692,0.53502363766797,0.562345679012346,0.547813593436579,85.35,0.0410489624171903,0.0303896750837741,0.029790000218946,0.682830102555828,0.0245535506520896,0.0632559529920038,0.0400603911911198,0.0626428286632714,0.0632559529920038,0.0561480445670615,7.53587909166612,0.44724857878487,0.113674538792752,0.0374623618194694,0.0496797592609327,0.0404952396006327,0.0374623618194694,0.0345883420846025,5.32397753959436
"852",7,274,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,2.5,1.28,0,1,0.552897946808427,0.614054054054054,0.552312344421297,130.9868339536,1.35069926997735,0.172839506172839,0.864903846153846,0.501065740328984,0.172839506172839,0.256256601699176,28.05,76.070886790227,7.85201761203392,0.519135802469136,0.516346153846154,0.455035234347945,0.519135802469136,0.48475677111587,92.35,0.0287204038161211,0.0315868917255866,0.0284614785095196,7.37379691275912,0.124779749490093,0.0382097217101732,0.0343833598028146,0.105534900443084,0.0382097217101732,0.0540995594311844,3.57586941949271,4.42156173740613,0.699990959230471,0.0539587128131695,0.0375784241720076,0.0391552526026433,0.0539587128131695,0.0447577686148047,4.0428624564911
"853",7,324,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,3,1.28,0,1,0.547523749215905,0.605945945945946,0.546733019727386,156.428832494337,1.38820182082887,0.157407407407407,0.875961538461538,0.495001821585189,0.157407407407407,0.237970602916669,25.65,90.9507112442679,9.53420066810792,0.523456790123457,0.520673076923077,0.459948302666572,0.523456790123457,0.489444275269421,92.25,0.0211359610653303,0.0276124366397372,0.0207810961539276,7.02285249597564,0.144795073017336,0.0377609563894942,0.0247417366958018,0.0791350979722657,0.0377609563894942,0.0510299689828418,3.77352271547562,6.12868691612605,0.994653655729402,0.0426539942194397,0.0416533639098667,0.0365889518012413,0.0426539942194397,0.0379722305097101,3.85083722954127
"854",7,374,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,3.5,1.28,0,1,0.545705653463066,0.603513513513513,0.54351417028505,183.886823258434,1.52955286649873,0.133950617283951,0.880769230769231,0.459693631245489,0.133950617283951,0.206515078077159,23.25,105.614222350746,11.1420749002836,0.502469135802469,0.514423076923077,0.44594553041747,0.502469135802469,0.471953676475096,91.2,0.0336736517386474,0.0355225386965743,0.0310073480305065,9.95367646199724,0.202657324546739,0.048111480347923,0.0288292798149666,0.129279211026604,0.048111480347923,0.069310512682923,4.01149663631392,7.52152334721506,0.960488799730585,0.0614157122823053,0.0475681582492707,0.0413299213961545,0.0614157122823053,0.0482049923447887,6.53412096935045
"855",7,424,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,4,1.28,0,1,0.561589753544683,0.582972972972973,0.563126706793145,207.260083160611,1.71804299582904,0.126543209876543,0.895673076923077,0.487483579610465,0.126543209876543,0.199735510604327,21.1,119.335999240719,12.4225953148782,0.498765432098765,0.502403846153846,0.438294615897886,0.498765432098765,0.466334679185001,92.15,0.0325426877139432,0.0287782569707803,0.040186000478335,15.5281998431284,0.22795058628657,0.0332417580687315,0.0282968963196795,0.0939848814964499,0.0332417580687315,0.0467528647144517,4.07689252146521,11.3179373996797,1.39436074611674,0.051201089761303,0.0390734471580408,0.0388591249499172,0.051201089761303,0.0430122768443414,4.2087002619261
"856",7,607,20,3,168,0.333333333333333,4,185,81,1,0.05576108,0.75,0,1,0,0,0.3,0,1,0.198625729320246,0.621081081081081,0.0202376839151229,36.9921214015268,0.721367125222635,0.218518518518519,0.852403846153846,0.533517831603592,0.218518518518519,0.30767303955757,33.05,21.7454870444054,2.33310274953133,0.517283950617284,0.526442307692308,0.459372530535742,0.517283950617284,0.486144403737319,91.15,0.0476300860631104,0.0455602588679292,0.0310968258148727,1.48787126134675,0.0420996706107824,0.0573635484712993,0.0324615276685133,0.070704220460491,0.0573635484712993,0.0646977505325985,6.41113340829431,1.29550903021119,0.198613516626502,0.0574753138933322,0.0407797089506415,0.0377616327039206,0.0574753138933322,0.0443056936637934,5.70572196640309
