"","X","chunkNo","seed","reps","n_bar","J","alpha","type","p","s","default","cov_x","scale","base_mean_x","sigma_x","mean_r","sigma_r","mean_noise","sigma_noise","mean_adj_r_squared","mean_agreement","mean_y_rmse_fixed","mean_beta_rmse_fixed","mean_sensitivity_fixed","mean_specificity_fixed","mean_precision_fixed","mean_recall_fixed","mean_F1_fixed","mean_y_rmse_mixed","mean_beta_rmse_mixed","mean_sensitivity_mixed","mean_specificity_mixed","mean_precision_mixed","mean_recall_mixed","mean_F1_mixed","sd_adj_r_squared","sd_agreement","sd_y_rmse_fixed","sd_beta_rmse_fixed","sd_sensitivity_fixed","sd_specificity_fixed","sd_precision_fixed","sd_recall_fixed","sd_F1_fixed","sd_y_rmse_mixed","sd_beta_rmse_mixed","sd_sensitivity_mixed","sd_specificity_mixed","sd_precision_mixed","sd_recall_mixed","sd_F1_mixed"
"664",1,29,72296,20,40,5,1,3,16,4,1,0.25,3,0,1,0,2,0,1,0.982010152346062,0.915625,8.53698976759285,1.66834833018606,0.925,0.0875,0.25275641025641,0.925,0.396790505675955,8.25546214568168,1.69737377980994,1,0,0.25,1,0.4,0.0123255223443885,0.0546933737447138,0.44415541745436,0.13774089711465,0.117540586495407,0.068798162290158,0.03090203073805,0.117540586495407,0.0478681261803853,0.419492202842528,0.136562398773273,0,0,0,0,0
"665",1,29,72346,20,60,5,1,3,16,4,1,0.25,3,0,1,0,2,0,1,0.980817377286638,0.9625,8.70923350424541,1.65303064519676,0.9875,0.0458333333333333,0.256785714285714,0.9875,0.407426900584795,8.45708334479375,1.68283856473766,1,0,0.25,1,0.4,0.0324422122697676,0.0471210646828157,0.263772339090482,0.104605257645582,0.0559016994374947,0.057194395096105,0.0155127772659637,0.0559016994374947,0.0228854866223113,0.295661383250097,0.0898118725844878,0,0,0,0,0
"666",1,29,72396,20,80,5,1,3,16,4,1,0.25,3,0,1,0,2,0,1,0.978915554781633,0.940625,8.65818064474583,1.71519921041138,0.9625,0.0666666666666667,0.256199633699634,0.9625,0.404320605435157,8.44008433971504,1.73525311034663,1,0,0.25,1,0.4,0.0249024959852476,0.0686901653498481,0.38952186012426,0.0964483056497173,0.0915868871331308,0.0792877651822924,0.0226404940830149,0.0915868871331308,0.0342563928629876,0.34707382654325,0.0932851580150669,0,0,0,0,0
"667",1,29,96,20,40,5,0,1,8,4,1,0.25,0,0,1,0,2,0,1,0.427877399996537,0.8625,2.47071444930116,0.353217532747231,1,0.125,0.54047619047619,1,0.699393939393939,1.78674976609816,0.329281107946662,0.9875,0.2625,0.593571428571429,0.9875,0.731544011544011,0.0997798887416084,0.161713684607932,0.434239946014248,0.0514148404387071,0,0.206792547967128,0.0682675667905212,0,0.0547894595472794,0.0999352697259351,0.0453992136568377,0.0559016994374947,0.274760661399392,0.123338945692452,0.0559016994374947,0.0665703377962552
"668",1,3,11070,20,40,5,0,2,16,4,1,0.25,0,0,1,0,2,0,1,0.426756000145414,0.725,2.44266437570203,0.291074808254491,1,0.3375,0.350178432678433,1,0.513773488293612,1.68802785358505,0.270504741160854,1,0.1125,0.279166666666667,1,0.434122807017544,0.066036828261609,0.136630022900879,0.334253379987497,0.0356477343561972,0,0.203181925221812,0.0823582787464619,0,0.0854841673848686,0.0755523446376502,0.0220531848473525,0,0.146286888685109,0.0545783947143065,0,0.0582517184666159
"669",1,3,11120,20,60,5,0,2,16,4,1,0.25,0,0,1,0,2,0,1,0.443341268118392,0.78125,2.37643868151887,0.28367699376226,1,0.233333333333333,0.315637973137973,1,0.475327618717712,1.6954431083008,0.262134585683511,1,0.166666666666667,0.29531968031968,1,0.452685635657772,0.110951095717714,0.13374046940958,0.481165386046624,0.0411611904212923,0,0.194214567542226,0.0774758412747278,0,0.0805824973538433,0.0737293536561568,0.0196022184213513,0,0.187317162316339,0.0641250425548062,0,0.0701356331046893
"670",1,3,11170,20,80,5,0,2,16,4,1,0.25,0,0,1,0,2,0,1,0.466842696606295,0.825,2.3473853588714,0.262959741846509,1,0.195833333333333,0.298636641136641,1,0.458182371464105,1.71684516445611,0.251574288285555,1,0.229166666666667,0.318253968253968,1,0.477120978436768,0.11030094305592,0.117540586495407,0.486371098173998,0.025402528840902,0,0.148764404187347,0.0459722230467613,0,0.0518358369742499,0.0794813987151672,0.0175560826115946,0,0.222747004626719,0.0869332245307301,0,0.0914734024757202
"671",1,3,11220,20,20,5,1,2,16,4,1,0.25,0,0,1,0,2,0,1,0.482245848288509,0.73125,2.13903412187954,0.321624055839271,0.9875,0.379166666666667,0.355956820956821,0.9875,0.520494978018198,1.59789793942629,0.291780289719033,1,0.0916666666666667,0.269285714285714,1,0.42406432748538,0.0961748477950603,0.0886206433121123,0.346388507764353,0.0444292497820221,0.0559016994374947,0.165511346583711,0.0615598860776781,0.0559016994374947,0.0688531925544506,0.181256277904665,0.0373384147589515,0,0.0656724104710344,0.0165841134868766,0,0.0198479539418593
"672",1,3,120,20,60,5,0,1,8,4,1,0.25,0,0,1,0,2,0,1,0.450407196579147,0.89375,2.39826468302893,0.330437886676794,1,0.05,0.51547619047619,1,0.679393939393939,1.79803820393666,0.322303618768811,1,0.1875,0.561428571428571,1,0.715959595959596,0.0749333081046693,0.116662750560841,0.316489459890494,0.0394411238668733,0,0.130787090945149,0.0417962539100313,0,0.0339382547086084,0.0787716615675498,0.0358274696777941,0,0.227616367000082,0.0822308017831807,0,0.0633115767705429
"673",1,3,170,20,80,5,0,1,8,4,1,0.25,0,0,1,0,2,0,1,0.414043146479531,0.9,2.5578629254245,0.336539707018144,1,0.075,0.522619047619048,1,0.685454545454545,1.79914199278107,0.316358295208125,1,0.225,0.584761904761905,1,0.73040404040404,0.0822793809626337,0.154961794951971,0.426336410540413,0.0369829069282765,0,0.14281014264437,0.0446939974418024,0,0.0365703851422225,0.0673819986101552,0.0281211992734399,0,0.30240265941465,0.134692322427706,0,0.0941565975165601
"674",1,3,20,20,20,5,0,1,8,4,1,0.25,0,0,1,0,2,0,1,0.413390499737948,0.88125,2.42664153905965,0.400763700810996,0.9875,0.2125,0.571190476190476,0.9875,0.718787878787879,1.69662070425856,0.353889114797239,1,0.1125,0.532142857142857,1,0.693939393939394,0.12284911894241,0.131257831846533,0.476430715243366,0.0645655980682435,0.0559016994374947,0.272355707814151,0.110532297134683,0.0559016994374947,0.0883546849465545,0.119450422635253,0.0381700087545329,0,0.12760444638351,0.0364584132524314,0,0.0309344112444873
"675",1,3,220,20,20,5,1,1,8,4,1,0.25,0,0,1,0,2,0,1,0.406367412463175,0.86875,2.41340035736953,0.397743125356722,0.9875,0.175,0.555357142857143,0.9875,0.705984848484848,1.73937277194804,0.338341357998533,1,0.275,0.600238095238095,1,0.743131313131313,0.101245956922378,0.148871854114095,0.541498442887125,0.0701094963341269,0.0559016994374947,0.23084512921916,0.0761077048830847,0.0559016994374947,0.0501182088240829,0.159118810231521,0.0671984288466017,0,0.29132185131334,0.130871243945888,0,0.0911563180948698
"676",1,3,22220,20,20,5,1,3,8,4,1,0.25,1,0,1,0,2,0,1,0.903194682592362,0.93125,8.61031408175777,2.27064491952057,0.9625,0.1,0.517857142857143,0.9625,0.672121212121212,8.03421046187229,2.35673299870688,1,0,0.5,1,0.666666666666667,0.0460584275682722,0.0857915926441575,0.645216907445717,0.225412230398998,0.0915868871331308,0.125656172487509,0.0392942574442986,0.0915868871331308,0.0486798312220995,0.558665869117564,0.250949269352386,0,0,0,0,0
